Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.9605,0.5072463768115942,0.4375,0.4697986577181208
XGBoost,0.959,0.4861111111111111,0.4375,0.4605263157894737
AdaBoost,0.853,0.12323943661971831,0.4375,0.19230769230769232
K-Nearest Neighbors,0.831,0.10429447852760736,0.425,0.16748768472906403
Logistic Regression,0.558,0.05432372505543237,0.6125,0.09979633401221996
